見合一唐平 cuang 光
透開一唐平 tang 湯
滂一唐平 pang 滂
影合一唐平 uang 汪
影開一唐平 ang 鴦
曉開一唐平 xang 炕
匣開一唐平 hang 航
明一唐平 mang 茫
精開一唐平 zang 臧
泥開一唐平 nang 囊
並一唐平 bhang 傍
疑開一唐平 qang 卬
從開一唐平 dzang 藏
溪合一唐平 kuang 䯑
幫一唐平 bang 幫
見開二庚平 ceang 庚
溪開二庚平 keang 阬
明二庚平 meang 盲
匣合二庚平 hoang 橫
幫二庚平 beang 閍
曉合二庚平 xoang 諻
見合二庚平 coang 觵
並二庚平 bheang 彭
曉開二庚平 xeang 脝
徹開二庚平 tyeang 瞠
初開二庚平 treang 鎗
崇開二庚平 jreang 傖
影開三庚平 iiang 霙
滂二庚平 peang 磅
並三庚平 bhyang 平
見開三庚平 cyang 驚
明三庚平 myang 明
澄開二庚平 dhyeang 棖
知開二庚平 dyeang 趟
云合三庚平 hyuang 榮
幫三庚平 byang 兵
曉合三庚平 xyuang 兄
溪開三庚平 kyang 卿
生開三庚平 sryang 生
羣開三庚平 gyang 擎
疑開三庚平 qyang 迎
匣開二庚平 heang 行
孃開二庚平 nyeang 鬤
見開二耕平 caeng 耕
溪開二耕平 kaeng 鏗
明二耕平 maeng 甍
幫二耕平 baeng 浜
匣合二耕平 hoeng 宏
匣開二耕平 haeng 莖
知開二耕平 dyaeng 朾
影開二耕平 aeng 甖
崇開二耕平 jraeng 崢
初開二耕平 traeng 琤
孃開二耕平 nyaeng 儜
滂二耕平 paeng 怦
曉合二耕平 xoeng 轟
澄開二耕平 dhyaeng 橙
影合二耕平 oeng 泓
並二耕平 bhaeng 輣
疑開二耕平 qaeng 娙
莊開二耕平 draeng 爭
清開三清平 tsing 清
從開三清平 dzing 情
精開三清平 zing 精
以開三清平 yeng 盈
以合三清平 yueng 營
影開三A清平 ing 嬰
知開三清平 dying 貞
徹開三清平 tying 檉
常開三清平 zhing 成
澄開三清平 dhying 呈
書開三清平 shing 聲
章開三清平 jing 征
溪開三A清平 king 輕
明三A清平 ming 名
來開三清平 ling 跉
幫三A清平 bing 并
溪合三A清平 kiueng 傾
邪開三清平 szing 𩛿
影合三A清平 iueng 縈
羣合三A清平 giueng 瓊
心合三清平 siueng 騂
羣開三A清平 ging 頸
曉合三A清平 xiueng 𧵣
清開四青平 tseng 青
見開四青平 ceng 經
匣開四青平 heng 㓝
定開四青平 dheng 庭
端開四青平 deng 丁
曉開四青平 xeng 馨
心開四青平 seng 星
滂四青平 peng 竮
來開四青平 leng 靈
泥開四青平 neng 寧
透開四青平 teng 汀
明四青平 meng 冥
並四青平 bheng 瓶
匣合四青平 hueng 熒
見合四青平 cueng 扃
章開三蒸平 jong 蒸
常開三蒸平 zhong 承
澄開三蒸平 dhyong 澂
來開三蒸平 liong 陵
影開三蒸平 iong 膺
並三蒸平 bhiong 凭
幫三蒸平 biong 冫
以開三蒸平 yong 蠅
船開三蒸平 djong 繩
書開三蒸平 shong 升
日開三蒸平 rong 仍
見開三蒸平 ciong 兢
知開三蒸平 dyong 徵
從開三蒸平 dziong 繒
疑開三蒸平 qiong 凝
曉開三蒸平 xiong 興
昌開三蒸平 chong 稱
羣開三蒸平 giong 殑
生開三蒸平 srong 㱡
溪開三蒸平 kiong 硱
徹開三蒸平 tyong 僜
崇開三蒸平 jrong 磳
滂三蒸平 piong 砯
端開一登平 dong 登
來開一登平 long 楞
心開一登平 song 僧
幫一登平 bong 崩
精開一登平 zong 增
明一登平 mong 瞢
從開一登平 dzong 層
並一登平 bhong 朋
匣合一登平 huong 弘
見合一登平 cuong 肱
曉合一登平 xuong 薨
泥開一登平 nong 能
定開一登平 dhong 騰
匣開一登平 hong 恆
見開一登平 cong 揯
透開一登平 tong 鼟
滂一登平 pong 漰
云三尤平 hiou 尤
影三尤平 iou 憂
來三尤平 liou 劉
清三尤平 tsiou 秋
以三尤平 you 猷
疑三尤平 qiou 牛
精三尤平 ziou 遒
從三尤平 dziou 酋
心三尤平 siou 脩
徹三尤平 tyou 抽
溪三尤平 kiou 𠁫
昌三尤平 chou 犫
章三尤平 jou 周
常三尤平 zhou 讎
日三尤平 rou 柔
書三尤平 shou 收
滂三尤平 piou 䬌
見三尤平 ciou 鳩
幫三尤平 biou 不
生三尤平 srou 𢯱
初三尤平 trou 搊
莊三尤平 drou 鄒
崇三尤平 jrou 愁
曉三尤平 xiou 休
邪三尤平 sziou 囚
澄三尤平 dhyou 儔
知三尤平 dyou 輈
羣三尤平 giou 𧚍
並三尤平 bhiou 浮
明三尤平 miou 謀
匣開一侯平 hou 侯
影開一侯平 ou 謳
泥開一侯平 nou 羺
來開一侯平 lou 樓
心開一侯平 sou 涑
溪開一侯平 kou 彄
曉開一侯平 xou 齁
精開一侯平 zou 𣠏
透開一侯平 tou 偷
定開一侯平 dhou 頭
疑開一侯平 qou 齵
見開一侯平 cou 鉤
端開一侯平 dou 兜
從開一侯平 dzou 㔌
並一侯平 bhou 裒
清開一侯平 tsou 䜅
明一侯平 mou 呣
